Date,Month,Hour,KWH_A
109/07/07,7,20,0.5749
109/07/08,7,7,0.6598
109/07/09,7,22,0.36945
109/07/10,7,21,0.8751
109/07/11,7,21,0.76428
109/07/12,7,17,0.74215
109/07/13,7,17,0.57028
109/07/14,7,21,0.69978
109/07/15,7,23,0.4437
109/07/16,7,22,0.35268
109/07/17,7,19,0.41277
109/07/18,7,16,0.68643
109/07/19,7,15,0.76588
109/07/20,7,21,0.2808
109/07/21,7,21,0.29683
109/07/22,7,20,0.28715
109/07/23,7,8,0.20257
109/07/24,7,0,0.12503
109/07/25,7,0,0.0724
109/07/26,7,23,0.13737
109/07/27,7,20,0.5845
109/07/28,7,20,0.2002
109/07/29,7,7,0.12165
109/07/30,7,22,0.21838
109/07/31,7,23,0.39265
109/08/01,8,16,0.51515
109/08/02,8,17,0.694
109/08/03,8,11,0.6275
109/08/04,8,20,0.19903
109/08/05,8,8,0.17583
109/08/19,8,21,0.26945
109/08/20,8,22,0.16858
109/08/21,8,20,0.72853
109/08/22,8,21,0.28193
109/08/23,8,16,0.66825
109/08/24,8,8,0.55285
109/08/25,8,21,0.423
109/08/26,8,21,0.23605
109/08/27,8,20,0.50758
109/08/28,8,21,0.25363
109/08/29,8,10,0.77358
109/08/30,8,17,0.46745
109/08/31,8,21,0.29033
109/09/01,9,6,0.27178
109/09/02,9,21,0.28133
109/09/03,9,22,0.32123
109/09/04,9,21,0.22523
109/09/05,9,21,0.45545
109/09/06,9,21,0.2436
109/09/07,9,20,0.58563
109/09/08,9,20,0.64603
109/09/09,9,21,0.55928
109/09/10,9,22,0.2106
109/09/11,9,20,0.63973
109/09/12,9,16,0.50773
109/09/13,9,11,0.35075
109/09/14,9,17,0.35218
109/09/15,9,21,0.34453
109/09/16,9,19,0.36643
109/09/17,9,21,0.41328
109/09/18,9,20,0.32133
109/09/19,9,17,0.54473
109/09/20,9,17,0.38515
109/09/21,9,4,0.26838
109/09/22,9,0,0.23678
109/09/23,9,22,0.29778
109/09/24,9,2,0.27775
109/09/25,9,21,0.21238
109/09/26,9,9,0.24705
109/09/27,9,11,0.2206
109/09/28,9,19,0.24103
109/09/29,9,22,0.28498
109/09/30,9,22,0.23848
109/10/01,10,23,0.20065
109/10/02,10,14,0.34175
109/10/03,10,11,0.256
109/10/04,10,17,0.34168
109/10/05,10,21,0.22098
109/10/06,10,22,0.2414
109/10/07,10,21,0.2332
109/10/08,10,20,0.21863
109/10/09,10,21,0.3478
109/10/10,10,7,0.29122
109/10/11,10,17,0.26345
109/10/12,10,21,0.22815
109/10/13,10,21,0.4785
109/10/14,10,21,0.22893
109/10/15,10,22,0.24133
109/10/16,10,22,0.24085
109/10/17,10,17,0.26328
109/10/18,10,21,0.26253
109/10/19,10,21,0.21908
109/10/20,10,14,0.28675
109/10/21,10,21,0.2572
109/10/22,10,21,0.26388
109/10/23,10,6,0.19625
109/10/24,10,9,0.23218
109/10/25,10,15,0.32578
109/10/26,10,21,0.24818
109/10/27,10,21,0.24403
109/10/28,10,21,0.25248
109/10/29,10,21,0.21358
109/10/30,10,22,0.19568
109/10/31,10,16,0.25235
109/11/01,11,12,0.24848
109/11/02,11,21,0.22948
109/11/03,11,21,0.24525
109/11/04,11,22,0.30423
109/11/05,11,21,0.24673
109/11/06,11,22,0.2377
109/11/07,11,23,0.30603
109/11/08,11,13,0.31735
109/11/09,11,20,0.32978
109/11/10,11,21,0.25843
109/11/11,11,20,0.26025
109/11/12,11,20,0.22368
109/11/13,11,21,0.31513
109/11/14,11,23,0.33403
109/11/15,11,16,0.42593
109/11/16,11,21,0.2698
109/11/17,11,20,0.24215
109/11/18,11,6,0.2603
109/11/19,11,21,0.24083
109/11/20,11,21,0.2647
109/11/21,11,21,0.33258
109/11/22,11,12,0.24933
109/11/23,11,21,0.27988
109/11/24,11,21,0.2444
109/11/25,11,21,0.2689
109/11/26,11,22,0.2218
109/11/27,11,22,0.28728
109/11/28,11,16,0.25168
109/11/29,11,22,0.255
109/11/30,11,22,0.23388
109/12/01,12,21,0.24223
109/12/02,12,21,0.27625
109/12/03,12,21,0.35093
109/12/04,12,23,0.35128
109/12/05,12,23,0.77715
109/12/06,12,14,0.45213
109/12/07,12,21,0.33983
109/12/08,12,22,0.30415
109/12/09,12,21,0.32938
109/12/10,12,21,0.32505
109/12/11,12,21,0.27133
109/12/12,12,17,0.3858
109/12/13,12,17,0.38588
109/12/14,12,21,0.30188
109/12/15,12,21,0.3309
109/12/16,12,20,0.4028
109/12/17,12,22,0.2689
109/12/18,12,21,0.2998
109/12/19,12,23,0.2531
109/12/20,12,14,0.42655
109/12/21,12,21,0.41823
109/12/22,12,6,0.14933
109/12/23,12,21,0.3735
109/12/24,12,22,0.3174
109/12/25,12,21,0.2573
109/12/26,12,22,0.30395
109/12/27,12,21,0.31313
109/12/28,12,10,0.3753
109/12/29,12,21,0.2698
109/12/30,12,7,0.2809
