fcustomerid,county,Date,Year,Month,Week,Hour,Holiday,KWH_A
2,台北市,111/05/16,2022,5,一,23,N,0.161
2,台北市,111/05/17,2022,5,二,0,N,0.16583
2,台北市,111/05/17,2022,5,二,1,N,0.1329
2,台北市,111/05/17,2022,5,二,2,N,0.1254
2,台北市,111/05/17,2022,5,二,3,N,0.09483
2,台北市,111/05/17,2022,5,二,4,N,0.08115
2,台北市,111/05/17,2022,5,二,5,N,0.07565
2,台北市,111/05/17,2022,5,二,6,N,0.07083
2,台北市,111/05/17,2022,5,二,7,N,0.08108
2,台北市,111/05/17,2022,5,二,8,N,0.08055
2,台北市,111/05/17,2022,5,二,9,N,0.08268
2,台北市,111/05/17,2022,5,二,10,N,0.09678
2,台北市,111/05/17,2022,5,二,11,N,0.10888
2,台北市,111/05/17,2022,5,二,12,N,0.2304
2,台北市,111/05/17,2022,5,二,13,N,0.15345
2,台北市,111/05/17,2022,5,二,14,N,0.20958
2,台北市,111/05/17,2022,5,二,15,N,0.1663
2,台北市,111/05/17,2022,5,二,16,N,0.1754
2,台北市,111/05/17,2022,5,二,17,N,0.1926
2,台北市,111/05/17,2022,5,二,18,N,0.18965
2,台北市,111/05/17,2022,5,二,19,N,0.158
2,台北市,111/05/17,2022,5,二,20,N,0.15508
2,台北市,111/05/17,2022,5,二,21,N,0.16465
2,台北市,111/05/17,2022,5,二,22,N,0.1678
2,台北市,111/05/17,2022,5,二,23,N,0.16355
2,台北市,111/05/18,2022,5,三,0,N,0.1749
2,台北市,111/05/18,2022,5,三,1,N,0.10943
2,台北市,111/05/18,2022,5,三,2,N,0.0912
2,台北市,111/05/18,2022,5,三,3,N,0.0861
2,台北市,111/05/18,2022,5,三,4,N,0.0856
2,台北市,111/05/18,2022,5,三,5,N,0.08068
2,台北市,111/05/18,2022,5,三,6,N,0.08368
2,台北市,111/05/18,2022,5,三,7,N,0.10768
2,台北市,111/05/18,2022,5,三,8,N,0.09503
2,台北市,111/05/18,2022,5,三,9,N,0.14945
2,台北市,111/05/18,2022,5,三,10,N,0.10463
2,台北市,111/05/18,2022,5,三,11,N,0.1018
2,台北市,111/05/18,2022,5,三,12,N,0.1004
2,台北市,111/05/18,2022,5,三,13,N,0.09728
2,台北市,111/05/18,2022,5,三,14,N,0.10978
2,台北市,111/05/18,2022,5,三,15,N,0.09843
2,台北市,111/05/18,2022,5,三,16,N,0.0815
2,台北市,111/05/18,2022,5,三,17,N,0.1004
2,台北市,111/05/18,2022,5,三,18,N,0.11698
2,台北市,111/05/18,2022,5,三,19,N,0.19465
2,台北市,111/05/18,2022,5,三,20,N,0.1706
2,台北市,111/05/18,2022,5,三,21,N,0.13053
2,台北市,111/05/18,2022,5,三,22,N,0.15365
2,台北市,111/05/18,2022,5,三,23,N,0.14435
2,台北市,111/05/19,2022,5,四,0,N,0.14103
2,台北市,111/05/19,2022,5,四,1,N,0.1272
2,台北市,111/05/19,2022,5,四,2,N,0.10395
2,台北市,111/05/19,2022,5,四,3,N,0.11485
2,台北市,111/05/19,2022,5,四,4,N,0.1035
2,台北市,111/05/19,2022,5,四,5,N,0.09483
2,台北市,111/05/19,2022,5,四,6,N,0.0943
2,台北市,111/05/19,2022,5,四,7,N,0.11195
2,台北市,111/05/19,2022,5,四,8,N,0.08868
2,台北市,111/05/19,2022,5,四,9,N,0.09475
2,台北市,111/05/19,2022,5,四,10,N,0.10565
2,台北市,111/05/19,2022,5,四,11,N,0.11575
2,台北市,111/05/19,2022,5,四,12,N,0.1651
2,台北市,111/05/19,2022,5,四,13,N,0.15983
2,台北市,111/05/19,2022,5,四,14,N,0.1883
2,台北市,111/05/19,2022,5,四,15,N,0.1885
2,台北市,111/05/19,2022,5,四,16,N,0.17163
2,台北市,111/05/19,2022,5,四,17,N,0.18823
2,台北市,111/05/19,2022,5,四,18,N,0.18608
2,台北市,111/05/19,2022,5,四,19,N,0.19515
2,台北市,111/05/19,2022,5,四,20,N,0.21923
2,台北市,111/05/19,2022,5,四,21,N,0.19768
2,台北市,111/05/19,2022,5,四,22,N,0.20925
2,台北市,111/05/19,2022,5,四,23,N,0.2229
2,台北市,111/05/20,2022,5,五,0,N,0.2561
2,台北市,111/05/20,2022,5,五,1,N,0.1966
2,台北市,111/05/20,2022,5,五,2,N,0.111
2,台北市,111/05/20,2022,5,五,3,N,0.11855
2,台北市,111/05/20,2022,5,五,4,N,0.11583
2,台北市,111/05/20,2022,5,五,5,N,0.10978
2,台北市,111/05/20,2022,5,五,6,N,0.1085
2,台北市,111/05/20,2022,5,五,7,N,0.11333
2,台北市,111/05/20,2022,5,五,8,N,0.12473
2,台北市,111/05/20,2022,5,五,9,N,0.15545
2,台北市,111/05/20,2022,5,五,10,N,0.1251
2,台北市,111/05/20,2022,5,五,11,N,0.12613
2,台北市,111/05/20,2022,5,五,12,N,0.21943
2,台北市,111/05/20,2022,5,五,13,N,0.18165
2,台北市,111/05/20,2022,5,五,14,N,0.1847
2,台北市,111/05/20,2022,5,五,15,N,0.17183
2,台北市,111/05/20,2022,5,五,16,N,0.12543
2,台北市,111/05/20,2022,5,五,17,N,0.11755
2,台北市,111/05/20,2022,5,五,18,N,0.15703
2,台北市,111/05/20,2022,5,五,19,N,0.14433
2,台北市,111/05/20,2022,5,五,20,N,0.18398
2,台北市,111/05/20,2022,5,五,21,N,0.16063
2,台北市,111/05/20,2022,5,五,22,N,0.15618
2,台北市,111/05/20,2022,5,五,23,N,0.17363
2,台北市,111/05/21,2022,5,六,0,Y,0.16478
2,台北市,111/05/21,2022,5,六,1,Y,0.15425
2,台北市,111/05/21,2022,5,六,2,Y,0.10928
2,台北市,111/05/21,2022,5,六,3,Y,0.08453
2,台北市,111/05/21,2022,5,六,4,Y,0.09348
2,台北市,111/05/21,2022,5,六,5,Y,0.09183
2,台北市,111/05/21,2022,5,六,6,Y,0.09038
2,台北市,111/05/21,2022,5,六,7,Y,0.12003
2,台北市,111/05/21,2022,5,六,8,Y,0.13275
2,台北市,111/05/21,2022,5,六,9,Y,0.14418
2,台北市,111/05/21,2022,5,六,10,Y,0.13093
2,台北市,111/05/21,2022,5,六,11,Y,0.10388
2,台北市,111/05/21,2022,5,六,12,Y,0.08758
2,台北市,111/05/21,2022,5,六,13,Y,0.12723
2,台北市,111/05/21,2022,5,六,14,Y,0.1564
2,台北市,111/05/21,2022,5,六,15,Y,0.1689
2,台北市,111/05/21,2022,5,六,16,Y,0.14608
2,台北市,111/05/21,2022,5,六,17,Y,0.11373
2,台北市,111/05/21,2022,5,六,18,Y,0.15298
2,台北市,111/05/21,2022,5,六,19,Y,0.14555
2,台北市,111/05/21,2022,5,六,20,Y,0.17783
2,台北市,111/05/21,2022,5,六,21,Y,0.12473
2,台北市,111/05/21,2022,5,六,22,Y,0.1689
2,台北市,111/05/21,2022,5,六,23,Y,0.21815
2,台北市,111/05/22,2022,5,日,0,Y,0.18545
2,台北市,111/05/22,2022,5,日,1,Y,0.14758
2,台北市,111/05/22,2022,5,日,2,Y,0.15143
2,台北市,111/05/22,2022,5,日,3,Y,0.21658
2,台北市,111/05/22,2022,5,日,4,Y,0.1701
2,台北市,111/05/22,2022,5,日,5,Y,0.11588
2,台北市,111/05/22,2022,5,日,6,Y,0.11705
2,台北市,111/05/22,2022,5,日,7,Y,0.11335
2,台北市,111/05/22,2022,5,日,8,Y,0.12538
2,台北市,111/05/22,2022,5,日,9,Y,0.2984
2,台北市,111/05/22,2022,5,日,10,Y,0.2252
2,台北市,111/05/22,2022,5,日,11,Y,0.21003
2,台北市,111/05/22,2022,5,日,12,Y,0.19655
2,台北市,111/05/22,2022,5,日,13,Y,0.17245
2,台北市,111/05/22,2022,5,日,14,Y,0.13278
2,台北市,111/05/22,2022,5,日,15,Y,0.15565
2,台北市,111/05/22,2022,5,日,16,Y,0.12253
2,台北市,111/05/22,2022,5,日,17,Y,0.20738
2,台北市,111/05/22,2022,5,日,18,Y,0.21625
2,台北市,111/05/22,2022,5,日,19,Y,0.19898
2,台北市,111/05/22,2022,5,日,20,Y,0.20488
2,台北市,111/05/22,2022,5,日,21,Y,0.1928
2,台北市,111/05/22,2022,5,日,22,Y,0.18775
2,台北市,111/05/22,2022,5,日,23,Y,0.19338
2,台北市,111/05/23,2022,5,一,0,N,0.21805
2,台北市,111/05/23,2022,5,一,1,N,0.22923
2,台北市,111/05/23,2022,5,一,2,N,0.16788
2,台北市,111/05/23,2022,5,一,3,N,0.14825
2,台北市,111/05/23,2022,5,一,4,N,0.15733
2,台北市,111/05/23,2022,5,一,5,N,0.14493
2,台北市,111/05/23,2022,5,一,6,N,0.16108
2,台北市,111/05/23,2022,5,一,7,N,0.13765
2,台北市,111/05/23,2022,5,一,8,N,0.08805
2,台北市,111/05/23,2022,5,一,9,N,0.16963
2,台北市,111/05/23,2022,5,一,10,N,0.13633
2,台北市,111/05/23,2022,5,一,11,N,0.17153
2,台北市,111/05/23,2022,5,一,12,N,0.13255
2,台北市,111/05/23,2022,5,一,13,N,0.11043
2,台北市,111/05/23,2022,5,一,14,N,0.15533
2,台北市,111/05/23,2022,5,一,15,N,0.16035
2,台北市,111/05/23,2022,5,一,16,N,0.16005
2,台北市,111/05/23,2022,5,一,17,N,0.15553
2,台北市,111/05/23,2022,5,一,18,N,0.20578
2,台北市,111/05/23,2022,5,一,19,N,0.17668
2,台北市,111/05/23,2022,5,一,20,N,0.16265
2,台北市,111/05/23,2022,5,一,21,N,0.23763
2,台北市,111/05/23,2022,5,一,22,N,0.1934
2,台北市,111/05/23,2022,5,一,23,N,0.19798
2,台北市,111/05/24,2022,5,二,0,N,0.24705
2,台北市,111/05/24,2022,5,二,1,N,0.2157
2,台北市,111/05/24,2022,5,二,2,N,0.21955
2,台北市,111/05/24,2022,5,二,3,N,0.17943
2,台北市,111/05/24,2022,5,二,4,N,0.15055
2,台北市,111/05/24,2022,5,二,5,N,0.1511
2,台北市,111/05/24,2022,5,二,6,N,0.15403
2,台北市,111/05/24,2022,5,二,7,N,0.16598
2,台北市,111/05/24,2022,5,二,8,N,0.14678
2,台北市,111/05/24,2022,5,二,9,N,0.16223
2,台北市,111/05/24,2022,5,二,10,N,0.1709
2,台北市,111/05/24,2022,5,二,11,N,0.11545
2,台北市,111/05/24,2022,5,二,12,N,0.16085
2,台北市,111/05/24,2022,5,二,13,N,0.18643
2,台北市,111/05/24,2022,5,二,14,N,0.15815
2,台北市,111/05/24,2022,5,二,15,N,0.14833
2,台北市,111/05/24,2022,5,二,16,N,0.1588
2,台北市,111/05/24,2022,5,二,17,N,0.16433
2,台北市,111/05/24,2022,5,二,18,N,0.17803
2,台北市,111/05/24,2022,5,二,19,N,0.16473
2,台北市,111/05/24,2022,5,二,20,N,0.19193
