fcustomerid,county,Date,Year,Month,Week,Hour,Holiday,KWH_A
22,台北市,109/12/07,2020,12,一,3,N,0.03717
22,台北市,109/12/07,2020,12,一,4,N,0.03945
22,台北市,109/12/07,2020,12,一,5,N,0.04085
22,台北市,109/12/07,2020,12,一,6,N,0.0399
22,台北市,109/12/07,2020,12,一,7,N,0.03488
22,台北市,109/12/07,2020,12,一,8,N,0.02925
22,台北市,109/12/07,2020,12,一,9,N,0.02668
22,台北市,109/12/07,2020,12,一,10,N,0.10833
22,台北市,109/12/07,2020,12,一,11,N,0.05953
22,台北市,109/12/07,2020,12,一,12,N,0.05978
22,台北市,109/12/07,2020,12,一,13,N,0.05993
22,台北市,109/12/07,2020,12,一,14,N,0.05395
22,台北市,109/12/07,2020,12,一,15,N,0.08743
22,台北市,109/12/07,2020,12,一,16,N,0.09823
22,台北市,109/12/07,2020,12,一,17,N,0.06163
22,台北市,109/12/07,2020,12,一,18,N,0.02568
22,台北市,109/12/07,2020,12,一,19,N,0.02218
22,台北市,109/12/07,2020,12,一,20,N,0.15593
22,台北市,109/12/07,2020,12,一,21,N,0.28118
22,台北市,109/12/07,2020,12,一,22,N,0.2806
22,台北市,109/12/07,2020,12,一,23,N,0.26155
22,台北市,109/12/08,2020,12,二,0,N,0.31445
22,台北市,109/12/08,2020,12,二,1,N,0.29703
22,台北市,109/12/08,2020,12,二,2,N,0.28425
22,台北市,109/12/08,2020,12,二,3,N,0.28375
22,台北市,109/12/08,2020,12,二,4,N,0.27858
22,台北市,109/12/08,2020,12,二,5,N,0.27705
22,台北市,109/12/08,2020,12,二,6,N,0.26823
22,台北市,109/12/08,2020,12,二,7,N,0.2633
22,台北市,109/12/08,2020,12,二,8,N,0.25283
22,台北市,109/12/08,2020,12,二,9,N,0.204
22,台北市,109/12/08,2020,12,二,10,N,0.0289
22,台北市,109/12/08,2020,12,二,11,N,0.0237
22,台北市,109/12/08,2020,12,二,12,N,0.02215
22,台北市,109/12/08,2020,12,二,13,N,0.02068
22,台北市,109/12/08,2020,12,二,14,N,0.42503
22,台北市,109/12/08,2020,12,二,15,N,0.36713
22,台北市,109/12/08,2020,12,二,16,N,0.26338
22,台北市,109/12/08,2020,12,二,17,N,0.2301
22,台北市,109/12/08,2020,12,二,18,N,0.2958
22,台北市,109/12/08,2020,12,二,19,N,0.13408
22,台北市,109/12/08,2020,12,二,20,N,0.25608
22,台北市,109/12/08,2020,12,二,21,N,0.26813
22,台北市,109/12/08,2020,12,二,22,N,0.09368
22,台北市,109/12/08,2020,12,二,23,N,0.24923
