fcustomerid,county,Date,Year,Month,Week,Hour,Holiday,KWH_A
14,台北市,109/12/06,2020,12,日,23,Y,0.0531
14,台北市,109/12/07,2020,12,一,0,N,0.05918
14,台北市,109/12/07,2020,12,一,1,N,0.01975
14,台北市,109/12/07,2020,12,一,2,N,0.01505
14,台北市,109/12/07,2020,12,一,3,N,0.0157
14,台北市,109/12/07,2020,12,一,4,N,0.01725
14,台北市,109/12/07,2020,12,一,5,N,0.0185
14,台北市,109/12/07,2020,12,一,6,N,0.01453
14,台北市,109/12/07,2020,12,一,7,N,0.02125
14,台北市,109/12/07,2020,12,一,8,N,0.04463
14,台北市,109/12/07,2020,12,一,9,N,0.01753
14,台北市,109/12/07,2020,12,一,10,N,0.01628
14,台北市,109/12/07,2020,12,一,11,N,0.01665
14,台北市,109/12/07,2020,12,一,12,N,0.0148
14,台北市,109/12/07,2020,12,一,13,N,0.01733
14,台北市,109/12/07,2020,12,一,14,N,0.0165
14,台北市,109/12/07,2020,12,一,15,N,0.01425
14,台北市,109/12/07,2020,12,一,16,N,0.0125
14,台北市,109/12/07,2020,12,一,17,N,0.0161
14,台北市,109/12/07,2020,12,一,18,N,0.01765
14,台北市,109/12/07,2020,12,一,19,N,0.0153
14,台北市,109/12/07,2020,12,一,20,N,0.01608
14,台北市,109/12/07,2020,12,一,21,N,0.01878
14,台北市,109/12/07,2020,12,一,22,N,0.0309
14,台北市,109/12/07,2020,12,一,23,N,0.08648
14,台北市,109/12/08,2020,12,二,0,N,0.07975
14,台北市,109/12/08,2020,12,二,1,N,0.02263
14,台北市,109/12/08,2020,12,二,2,N,0.0191
14,台北市,109/12/08,2020,12,二,3,N,0.01558
14,台北市,109/12/08,2020,12,二,4,N,0.01528
14,台北市,109/12/08,2020,12,二,5,N,0.01855
14,台北市,109/12/08,2020,12,二,6,N,0.01485
14,台北市,109/12/08,2020,12,二,7,N,0.0225
14,台北市,109/12/08,2020,12,二,8,N,0.042
14,台北市,109/12/08,2020,12,二,9,N,0.01715
14,台北市,109/12/08,2020,12,二,10,N,0.01413
14,台北市,109/12/08,2020,12,二,11,N,0.01563
14,台北市,109/12/08,2020,12,二,12,N,0.01498
14,台北市,109/12/08,2020,12,二,13,N,0.01775
14,台北市,109/12/08,2020,12,二,14,N,0.01328
14,台北市,109/12/08,2020,12,二,15,N,0.01605
14,台北市,109/12/08,2020,12,二,16,N,0.01513
14,台北市,109/12/08,2020,12,二,17,N,0.01803
14,台北市,109/12/08,2020,12,二,18,N,0.01643
14,台北市,109/12/08,2020,12,二,19,N,0.01478
14,台北市,109/12/08,2020,12,二,20,N,0.01475
14,台北市,109/12/08,2020,12,二,21,N,0.0331
14,台北市,109/12/08,2020,12,二,22,N,0.08063
14,台北市,109/12/08,2020,12,二,23,N,0.07393
